RECORD #(BIBLIO);MAT TYPE;008 Date One;008 Date Two;245|a;245|b;246|a;222|a;260|a;260|b;260|c;264|a;264|b;264|c;300;310;911;530;590;866;362
b22063808;s  ;1891;1891;[مجلة الجمعية العربية].;;[Majallat al-Jamʻīyah al-ʻArabīyah].;;;;;[بيروت] :;[الكلية السورية الانجيلية]،;[1891].;عدد 1.;;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 2.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة: عدد غير كامل.;
b22064023;s  ;1928;1928;[مجلة مكتوبة بخط اليد].;;;;;;;[بيروت] :;[الكلية السورية الانجيلية]،;[1928؟]; عدد 1.;;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 23.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة: عدد غير كامل[1928؟].;
b21205838;s  ;1903;1904;االدائرة :; جريدة علمية رياضية حكمية تصدر مرة في كل أسبوعين.;"جريدة علمية رياضية حكمية تصدر مرة في كل أسبوعين$""Al-Da'irah :""";الدائرة;;;;بيروت :;[المدرسة الكلية السورية الإنجيلية]،;1903-1904;مجلد.;مرتين في الشهر;CEASE;متوفر أيضاً على ميكروفيلم : Mic-P:AUB:000006;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 7.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة : ج. 1 ع. 1-7 (1903 - 1904);
b1316336x;1  ;1925;1926;الاخبار (القاهرة);;al-Akhbār (al-Qāhirah);الاخبار (القاهرة);;;;القاهرة :;[أمين الرافعي]،;1925-1926.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1925: آب 22 -1926: شباط 28.;
b21208906;s  ;1907;1908;الارزة :;جريدة علمية أدبية فكاهية تصدر مرتين في الشهر.;al-Arzah :;الارزة.;;;;بيروت :;الكلية السورية الإنجيلية،;1907-1908.;5 أعداد.;مرتين في الشهر.;CEASE;;"تحفظ في دائرة الارشيف والمجموعات الخاصة.$""The volume is available in AUB Archives/AA.4.2.1 Student/Student Manuscript Magazines box 11."""; في المكتبة : س. 1 ع. 2-6 (1907-1908).;
b13049938;1  ;1908;1919;الإتحاد العثماني (العدد الأسبوعي).;;al-Ittiḥād al-‘Uthmānī (al-‘adad al-usbū‘ī);الإتحاد العثماني (العدد الأسبوعي);;;;بيروت :;[أحمد حسن طبارة]،;1908-1919.;"1بكرة ميكروفيلم : ايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;ينقص الاعداد 1-5;في المكتبة:1908: كانون الاول - 1909: تشرين الاول 2.;
b1507027x;s  ;1908;1919;الإتحاد العثماني (العدد الأسبوعي).;;al-Ittiḥād al-‘Uthmānī (al-‘adad al-usbū‘ī);الإتحاد العثماني (العدد الأسبوعي);;;;بيروت :;[أحمد حسن طبارة]،;1908-1919.;مجلدات;;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000073a;ينقص الاعداد 1-5;في المكتبة : 1908 - 1909;
b1282155x;1  ;1908;1919;الإتحاد العثماني.;;al-Ittiḥād al-‘Uthmānī;الإتحاد العثماني;;;;بيروت :;[أحمد حسن طبارة]،;1908-1919.;"7 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:1908:أيلول-1916:كانون الثاني.;
b18364792;s  ;1908;uuuu;الإتحاد العثماني.;;al-Ittiḥād al-‘Uthmānī;الإتحاد العثماني;;;;بيروت :;[أحمد حسن طبارة]،;1908-;"7 مجلدات ؛ 30 سم";;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000073;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:1908: ايلول - 1916: كانون الثاني;
b15437541;1  ;1916;1921;الإتحاد العربي :;جريدة عربية مستقلة سياسية إخبارية إختصاصية باخبار الوطن.;"al-Ittiḥād al-‘Arabī :$""الزهراوي""";الإتحاد العربي;;;;سان باولو :;[جورج ميخائيل أطلس]،;[1916-1921];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم.";اسبوعية;CEASE;;"نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.$""تنقص الاعداد 78 (1921 : ايلول) ؛ 81 (1921 : تموز)""";في المكتبة:مج.2-3(1920:ايلول-1921:كانون الأول);
b12020886;s  ;1910;1958;الإحصاء  السنوي العام /;;"al-Iḥṣā’ al-sanawī al-‘ām$""Annuaire statistique de l'Egypte""";الإحصاء السنوي العام;;;;القاهرة :;الهيئة العامة لشؤون المطابع الأميرية،;1910-[1958];"مجلدات : مصورات ؛  33 سم";;CEASE;;;في المكتبة : 1923-1932، 1940-1941، 1945-1958.;
b25373328;s  ;1924;192u;الإخاء :;مجلة علمية تاريخية أدبية روائية مصوّرة.;AL-Ikhaa : révue arabe mensuelle;الإخاء;;;;مصر :;مطبعة عين شمس،;1924-[192؟];"مجلدات : مصورات ؛ 24 سم";شهرية.;CEASE;;;"في المكتبة: مج.1:ع.9(1924:كانون الأول)؛ مج.3:ع.2-7(1926:أيار-تشرين الأول)؛ مج.4:ع.6، 8، 10(1927:تشرين الثاني،1928: كانون الثاني، آذار)؛ مج.5:ع.1-4، 6، 9، 10(1928:نيسان-تموز، تشرين الثاني، 1929:كانون الثاني، شباط)؛ مج.6:ع.1، 2، 4، 6، 8(1929:نيسان، أيار، تشرين الثاني، 1930:كانون الثاني)؛ مج.7:ع.1، 3، 4، 7، 9(1930:نيسان، حزيران، تموز، كانون أول، 1931:شباط)؛ مج.8:ع.1، 3، 4، 6(1931:أيار، حزيران، تموز، كانون الأول)؛ مج.9:ع.4، 7، 8، 10(1932:تموز، كانون الأول، 1933:كانون ا";
b12826698;s  ;1902;1910;الإستقلال :;مجلة إنتقادية عمرانية أدبية.;"al-Istiqlāl :$""الإستقلال :""";الإستقلال;;;;القاهرة :;نجيب شقرا،;1902-1910.;مجلدات;شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000485;;في المكتبة :1902-1910.;صدرت السنة الاولى عام 1902.
b13581235;1  ;1902;1910;الإستقلال :;مجلة إنتقادية عمرانية أدبية.;"al-Istiqlāl :$""الإستقلال :""";الإستقلال;;;;القاهرة :;نجيب شقرا،;1902-1910.;"6 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في مكتبة يافث، دائرة المصغرات الفلمية.;في المكتبة:1902-1910.;صدرت السنة الأولى عام 1902.
b12823107;1  ;1894;1913;الإسلام :;جريدة علمية أدبية تاريخية.;al-Islām :;الإسلام;;;;مصر :;أحمد علي الشاذلي الأزهري،;1894-1913.;"1 بكرة ميكروفيلم : ايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1895: يونيو- 1897:كانون الثاني .;شهرية.
b13152622;s  ;1929;1935;الإصلاح :;مجلة أدبية إنتقادية تصورية جامعة.;"al-Iṣlāḥ :$""Renovacion""$""الإصلاح :""$""الإصلاح :""";الإصلاح;;;;بونس ايرس، الأرجنتين :;جورج صوايا،;1929-1935.;"4 مجلدات : مصورات ؛ 25 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفليم : Mic-NA:000478;في المكتبة : ج 3-5 وعدد كانون الاول الممتاز من ج 6.;في المكتبة : مج. 3-6 (1931-1935);
b13375325;1  ;1929;1933;الإصلاح :;مجلة أدبية انتقادية تصورية جامعة.;"al-Iṣlāḥ :$""Renovacion""$""الإصلاح :""$""الإصلاح :""";الإصلاح;;;;بونس ايرس، الأرجنتين :;جورج صوايا،;1929-1933.;"4 بكرات ميكروفيلم ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم الصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:مج.3-5(1931:كانون الثاني-1933:كانون الأول، 1935:كانون الأول);
b13159987;1  ;1913;1913;الإصلاح.;;al-Iṣlāḥ;الإصلاح;;;;بيروت :;[أحمد حسن طبارة]،;1913.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 سم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1913:أيار-كانون الأول.;
b13150315;1  ;1882;1884;الإعتدال.;;al-I‘tidāl;الإعتدال;;;;الآستانة :;[أحمد قدري]،;1882-1884.;"1بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1999.;في المكتبة:1882-1884.;
b12823259;1  ;1902;    ;الإقبال :;جريدة علمية، سياسية، عمرانية.;"Iqbāl :$""al-Ikbal""";الإقبال;;;;بيروت :;المكتبة الانسية،;1902-1912.;"10 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1902: نيسان -1912: كانون اول.;صدر العدد الاول سنة 1902.
b12826686;s  ;1902;1912;الإقبال :;جريدة علمية، سياسية، عمرانية.;"Iqbāl :$""al-Ikbal""";الإقبال;;;;بيروت :;المكتبة الانسية،;1902-1912.;"مجلدات ؛ 42 سم";أسبوعية.;CEASE;متوفر ايضاً على ميكروفيلم رقم : Mic-NA:000164;;في المكتبة : مج. 1-11 (1902-1911);صدر العدد الاول سنة 1902.
b23635332;s  ;1925;192u;الإنارة :;مجلة دينية تاريخية علمية أدبية.;al-Inarah;الإنارة;;;;عكا، فلسطين :;المطبعة الوطنية،;1925-[19؟2];"عدد ؛ 22 سم";شهرية.;CEASE;;;في المكتبة: مج.4:ع.2(1928:تشرين الأول);أيلول 1925.
b23272867;s  ;1910;1912;الإنسانية.;;;الإنسانية;;;;حماة، سوريا :;مطبعة جريدة حمص،;1910-1912.;"2 مجلد ؛ 22 سم";شهرية.;CEASE;;;في المكتبة: مج.1:ع.1-مج.2:ع.12(1910:نيسان-1912:آذار);السنة الأولى، الجزء الأول (نيسان 1910)-السنة الثانية، الجزء الثاني عشر(آذار 1912)
